RNDF_name	rndf_280S-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	13
lane	1.1
num_waypoints	267
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.1.233	37.3931654	-122.1751960
1.1.234	37.3930740	-122.1750084
1.1.235	37.3929858	-122.1748166
1.1.236	37.3929003	-122.1746195
1.1.237	37.3928210	-122.1744240
1.1.238	37.3927448	-122.1742247
1.1.239	37.3926722	-122.1740194
1.1.240	37.3926046	-122.1738141
1.1.241	37.3925416	-122.1736085
1.1.242	37.3924814	-122.1733958
1.1.243	37.3924269	-122.1731867
1.1.244	37.3923763	-122.1729735
1.1.245	37.3923288	-122.1727555
1.1.246	37.3922875	-122.1725407
1.1.247	37.3922492	-122.1723234
1.1.248	37.3922155	-122.1721022
1.1.249	37.3921873	-122.1718855
1.1.250	37.3921635	-122.1716672
1.1.251	37.3921438	-122.1714451
1.1.252	37.3921281	-122.1712278
1.1.253	37.3921133	-122.1710058
1.1.254	37.3920996	-122.1707878
1.1.255	37.3920862	-122.1705725
1.1.256	37.3920721	-122.1703543
1.1.257	37.3920597	-122.1701428
1.1.258	37.3920474	-122.1699357
1.1.259	37.3920329	-122.1696991
1.1.260	37.3920226	-122.1694934
1.1.261	37.3920069	-122.1692475
1.1.262	37.3919887	-122.1690327
1.1.263	37.3919624	-122.1687778
1.1.264	37.3919371	-122.1685832
1.1.265	37.3919081	-122.1683894
1.1.266	37.3918763	-122.1682159
1.1.267	37.3918352	-122.1680135
end_lane
lane	1.2
num_waypoints	267
lane_width	12.0000
left_boundary	broken_white
right_boundary	broken_white
1.2.1	37.4180786	-122.2146535
1.2.2	37.4180187	-122.2144641
1.2.3	37.4179622	-122.2142908
1.2.4	37.4178791	-122.2140746
1.2.5	37.4177946	-122.2138564
1.2.6	37.4176905	-122.2136017
1.2.7	37.4175882	-122.2133870
1.2.8	37.4175004	-122.2132121
1.2.9	37.4174136	-122.2130406
1.2.10	37.4173222	-122.2128753
1.2.11	37.4172311	-122.2127155
1.2.12	37.4171370	-122.2125564
1.2.13	37.4170376	-122.2123958
1.2.14	37.4169339	-122.2122390
1.2.15	37.4168290	-122.2120898
1.2.16	37.4167214	-122.2119437
1.2.17	37.4166066	-122.2117922
1.2.18	37.4164505	-122.2116004
1.2.19	37.4163321	-122.2114604
1.2.20	37.4162119	-122.2113248
1.2.21	37.4160869	-122.2111902
1.2.22	37.4159624	-122.2110602
1.2.23	37.4158381	-122.2109330
1.2.24	37.4157103	-122.2108014
1.2.25	37.4155860	-122.2106739
1.2.26	37.4154610	-122.2105459
1.2.27	37.4152970	-122.2103804
1.2.28	37.4151697	-122.2102499
1.2.29	37.4150432	-122.2101207
1.2.30	37.4149128	-122.2099876
1.2.31	37.4147872	-122.2098575
1.2.32	37.4146628	-122.2097251
1.2.33	37.4145353	-122.2095849
1.2.34	37.4144125	-122.2094445
1.2.35	37.4142920	-122.2092974
1.2.36	37.4141689	-122.2091396
1.2.37	37.4140899	-122.2090320
1.2.38	37.4140195	-122.2089367
1.2.39	37.4139054	-122.2087714
1.2.40	37.4137934	-122.2086014
1.2.41	37.4136811	-122.2084217
1.2.42	37.4135750	-122.2082436
1.2.43	37.4134725	-122.2080610
1.2.44	37.4133705	-122.2078688
1.2.45	37.4132752	-122.2076792
1.2.46	37.4131824	-122.2074850
1.2.47	37.4130924	-122.2072847
1.2.48	37.4130085	-122.2070859
1.2.49	37.4129286	-122.2068822
1.2.50	37.4128519	-122.2066720
1.2.51	37.4127807	-122.2064637
1.2.52	37.4127106	-122.2062483
1.2.53	37.4126428	-122.2060343
1.2.54	37.4125746	-122.2058199
1.2.55	37.4125062	-122.2056032
1.2.56	37.4124375	-122.2053883
1.2.57	37.4123696	-122.2051734
1.2.58	37.4123005	-122.2049572
1.2.59	37.4122324	-122.2047425
1.2.60	37.4121640	-122.2045278
1.2.61	37.4120943	-122.2043121
1.2.62	37.4120257	-122.2040981
1.2.63	37.4119572	-122.2038839
1.2.64	37.4118882	-122.2036684
1.2.65	37.4118197	-122.2034546
1.2.66	37.4117514	-122.2032408
1.2.67	37.4116826	-122.2030254
1.2.68	37.4116146	-122.2028117
1.2.69	37.4115457	-122.2025944
1.2.70	37.4114776	-122.2023821
1.2.71	37.4114093	-122.2021680
1.2.72	37.4113399	-122.2019505
1.2.73	37.4112721	-122.2017376
1.2.74	37.4112034	-122.2015230
1.2.75	37.4111337	-122.2013052
1.2.76	37.4110655	-122.2010916
1.2.77	37.4109963	-122.2008753
1.2.78	37.4109051	-122.2005996
1.2.79	37.4108356	-122.2003785
1.2.80	37.4107435	-122.2000908
1.2.81	37.4106720	-122.1998683
1.2.82	37.4106016	-122.1996492
1.2.83	37.4105323	-122.1994315
1.2.84	37.4104613	-122.1992093
1.2.85	37.4104142	-122.1990584
1.2.86	37.4103658	-122.1989075
1.2.87	37.4102956	-122.1986870
1.2.88	37.4102264	-122.1984684
1.2.89	37.4101573	-122.1982501
1.2.90	37.4100881	-122.1980307
1.2.91	37.4100206	-122.1978119
1.2.92	37.4099514	-122.1975935
1.2.93	37.4098805	-122.1973746
1.2.94	37.4098109	-122.1971578
1.2.95	37.4097417	-122.1969411
1.2.96	37.4096726	-122.1967230
1.2.97	37.4096038	-122.1965071
1.2.98	37.4095343	-122.1962884
1.2.99	37.4094663	-122.1960753
1.2.100	37.4093980	-122.1958610
1.2.101	37.4093280	-122.1956444
1.2.102	37.4092595	-122.1954334
1.2.103	37.4091911	-122.1952211
1.2.104	37.4091215	-122.1950056
1.2.105	37.4090527	-122.1947956
1.2.106	37.4089826	-122.1945856
1.2.107	37.4089157	-122.1943707
1.2.108	37.4088483	-122.1941611
1.2.109	37.4087815	-122.1939500
1.2.110	37.4087135	-122.1937362
1.2.111	37.4086478	-122.1935274
1.2.112	37.4085914	-122.1933442
1.2.113	37.4085397	-122.1931848
1.2.114	37.4084879	-122.1930285
1.2.115	37.4084410	-122.1928802
1.2.116	37.4083765	-122.1926812
1.2.117	37.4083208	-122.1925188
1.2.118	37.4082677	-122.1923702
1.2.119	37.4082191	-122.1922322
1.2.120	37.4081375	-122.1920185
1.2.121	37.4080538	-122.1918095
1.2.122	37.4079639	-122.1916018
1.2.123	37.4078716	-122.1913974
1.2.124	37.4077731	-122.1911943
1.2.125	37.4076705	-122.1909914
1.2.126	37.4075746	-122.1908073
1.2.127	37.4074760	-122.1906313
1.2.128	37.4073739	-122.1904471
1.2.129	37.4072771	-122.1902852
1.2.130	37.4071521	-122.1900916
1.2.131	37.4070437	-122.1899263
1.2.132	37.4069273	-122.1897653
1.2.133	37.4068133	-122.1896110
1.2.134	37.4066761	-122.1894241
1.2.135	37.4065381	-122.1892492
1.2.136	37.4063904	-122.1890767
1.2.137	37.4062438	-122.1889063
1.2.138	37.4060903	-122.1887393
1.2.139	37.4059348	-122.1885789
1.2.140	37.4057775	-122.1884242
1.2.141	37.4056171	-122.1882723
1.2.142	37.4054569	-122.1881230
1.2.143	37.4052967	-122.1879739
1.2.144	37.4051338	-122.1878233
1.2.145	37.4049728	-122.1876744
1.2.146	37.4048132	-122.1875256
1.2.147	37.4046528	-122.1873770
1.2.148	37.4044948	-122.1872310
1.2.149	37.4043386	-122.1870858
1.2.150	37.4041942	-122.1869507
1.2.151	37.4040608	-122.1868261
1.2.152	37.4039383	-122.1867112
1.2.153	37.4038234	-122.1866045
1.2.154	37.4037097	-122.1864985
1.2.155	37.4035947	-122.1863903
1.2.156	37.4034811	-122.1862833
1.2.157	37.4033637	-122.1861713
1.2.158	37.4032409	-122.1860542
1.2.159	37.4031181	-122.1859356
1.2.160	37.4029916	-122.1858119
1.2.161	37.4028603	-122.1856821
1.2.162	37.4027293	-122.1855517
1.2.163	37.4025956	-122.1854167
1.2.164	37.4024595	-122.1852799
1.2.165	37.4023250	-122.1851450
1.2.166	37.4021914	-122.1850106
1.2.167	37.4020541	-122.1848728
1.2.168	37.4019185	-122.1847356
1.2.169	37.4017811	-122.1845966
1.2.170	37.4016443	-122.1844574
1.2.171	37.4015068	-122.1843177
1.2.172	37.4013677	-122.1841759
1.2.173	37.4012286	-122.1840351
1.2.174	37.4010892	-122.1838934
1.2.175	37.4009479	-122.1837501
1.2.176	37.4008062	-122.1836059
1.2.177	37.4006660	-122.1834635
1.2.178	37.4005234	-122.1833184
1.2.179	37.4003804	-122.1831730
1.2.180	37.4002391	-122.1830296
1.2.181	37.4000954	-122.1828839
1.2.182	37.3999515	-122.1827377
1.2.183	37.3998097	-122.1825935
1.2.184	37.3996657	-122.1824475
1.2.185	37.3995220	-122.1823010
1.2.186	37.3993784	-122.1821544
1.2.187	37.3992365	-122.1820102
1.2.188	37.3990923	-122.1818641
1.2.189	37.3989484	-122.1817176
1.2.190	37.3988059	-122.1815734
1.2.191	37.3986612	-122.1814270
1.2.192	37.3985164	-122.1812798
1.2.193	37.3983732	-122.1811348
1.2.194	37.3982278	-122.1809870
1.2.195	37.3980817	-122.1808396
1.2.196	37.3979371	-122.1806925
1.2.197	37.3977921	-122.1805451
1.2.198	37.3976458	-122.1803963
1.2.199	37.3975006	-122.1802487
1.2.200	37.3973560	-122.1801024
1.2.201	37.3972120	-122.1799557
1.2.202	37.3970702	-122.1798113
1.2.203	37.3969294	-122.1796678
1.2.204	37.3967882	-122.1795242
1.2.205	37.3966486	-122.1793825
1.2.206	37.3965076	-122.1792391
1.2.207	37.3963689	-122.1790979
1.2.208	37.3962311	-122.1789582
1.2.209	37.3960905	-122.1788153
1.2.210	37.3959517	-122.1786743
1.2.211	37.3958136	-122.1785340
1.2.212	37.3956718	-122.1783900
1.2.213	37.3955325	-122.1782474
1.2.214	37.3953950	-122.1781072
1.2.215	37.3952560	-122.1779661
1.2.216	37.3951096	-122.1778172
1.2.217	37.3949760	-122.1776797
1.2.218	37.3948438	-122.1775436
1.2.219	37.3947125	-122.1774077
1.2.220	37.3945838	-122.1772742
1.2.221	37.3944579	-122.1771405
1.2.222	37.3943333	-122.1770055
1.2.223	37.3942132	-122.1768676
1.2.224	37.3940959	-122.1767258
1.2.225	37.3939816	-122.1765785
1.2.226	37.3938709	-122.1764271
1.2.227	37.3937612	-122.1762706
1.2.228	37.3936515	-122.1761082
1.2.229	37.3935438	-122.1759419
1.2.230	37.3934383	-122.1757695
1.2.231	37.3933345	-122.1755901
1.2.232	37.3932350	-122.1754074
1.2.233	37.3931374	-122.1752179
1.2.234	37.3930456	-122.1750294
1.2.235	37.3929570	-122.1748367
1.2.236	37.3928712	-122.1746387
1.2.237	37.3927914	-122.1744423
1.2.238	37.3927149	-122.1742420
1.2.239	37.3926419	-122.1740357
1.2.240	37.3925740	-122.1738294
1.2.241	37.3925107	-122.1736228
1.2.242	37.3924502	-122.1734092
1.2.243	37.3923954	-122.1731990
1.2.244	37.3923446	-122.1729848
1.2.245	37.3922969	-122.1727658
1.2.246	37.3922553	-122.1725500
1.2.247	37.3922169	-122.1723317
1.2.248	37.3921830	-122.1721094
1.2.249	37.3921547	-122.1718916
1.2.250	37.3921307	-122.1716722
1.2.251	37.3921110	-122.1714492
1.2.252	37.3920953	-122.1712314
1.2.253	37.3920804	-122.1710091
1.2.254	37.3920667	-122.1707910
1.2.255	37.3920533	-122.1705758
1.2.256	37.3920392	-122.1703574
1.2.257	37.3920269	-122.1701458
1.2.258	37.3920145	-122.1699388
1.2.259	37.3920001	-122.1697020
1.2.260	37.3919897	-122.1694963
1.2.261	37.3919741	-122.1692514
1.2.262	37.3919559	-122.1690375
1.2.263	37.3919298	-122.1687837
1.2.264	37.3919046	-122.1685903
1.2.265	37.3918758	-122.1683978
1.2.266	37.3918442	-122.1682256
1.2.267	37.3918033	-122.1680237
end_lane
lane	1.3
num_waypoints	267
lane_width	12.0000
left_boundary	broken_white
right_boundary	broken_white
1.3.1	37.4180479	-122.2146688
1.3.2	37.4179881	-122.2144796
1.3.3	37.4179320	-122.2143076
1.3.4	37.4178494	-122.2140926
1.3.5	37.4177651	-122.2138749
1.3.6	37.4176617	-122.2136218
1.3.7	37.4175601	-122.2134086
1.3.8	37.4174726	-122.2132342
1.3.9	37.4173861	-122.2130634
1.3.10	37.4172953	-122.2128991
1.3.11	37.4172045	-122.2127399
1.3.12	37.4171108	-122.2125814
1.3.13	37.4170119	-122.2124216
1.3.14	37.4169089	-122.2122658
1.3.15	37.4168045	-122.2121175
1.3.16	37.4166974	-122.2119719
1.3.17	37.4165831	-122.2118212
1.3.18	37.4164276	-122.2116302
1.3.19	37.4163097	-122.2114908
1.3.20	37.4161902	-122.2113559
1.3.21	37.4160656	-122.2112217
1.3.22	37.4159415	-122.2110921
1.3.23	37.4158172	-122.2109650
1.3.24	37.4156894	-122.2108333
1.3.25	37.4155652	-122.2107059
1.3.26	37.4154403	-122.2105780
1.3.27	37.4152763	-122.2104125
1.3.28	37.4151488	-122.2102819
1.3.29	37.4150224	-122.2101528
1.3.30	37.4148919	-122.2100195
1.3.31	37.4147661	-122.2098892
1.3.32	37.4146412	-122.2097564
1.3.33	37.4145133	-122.2096157
1.3.34	37.4143899	-122.2094746
1.3.35	37.4142687	-122.2093266
1.3.36	37.4141450	-122.2091680
1.3.37	37.4140656	-122.2090601
1.3.38	37.4139950	-122.2089642
1.3.39	37.4138803	-122.2087981
1.3.40	37.4137677	-122.2086273
1.3.41	37.4136549	-122.2084468
1.3.42	37.4135483	-122.2082678
1.3.43	37.4134453	-122.2080844
1.3.44	37.4133429	-122.2078912
1.3.45	37.4132471	-122.2077009
1.3.46	37.4131539	-122.2075057
1.3.47	37.4130634	-122.2073045
1.3.48	37.4129792	-122.2071047
1.3.49	37.4128988	-122.2068999
1.3.50	37.4128217	-122.2066888
1.3.51	37.4127503	-122.2064797
1.3.52	37.4126800	-122.2062638
1.3.53	37.4126121	-122.2060496
1.3.54	37.4125439	-122.2058351
1.3.55	37.4124755	-122.2056185
1.3.56	37.4124068	-122.2054036
1.3.57	37.4123389	-122.2051887
1.3.58	37.4122699	-122.2049725
1.3.59	37.4122018	-122.2047578
1.3.60	37.4121334	-122.2045432
