RNDF_name	rndf_280both-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	23
lane	1.1
num_waypoints	259
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.2.133	37.4068649	-122.1892720
1.2.134	37.4069513	-122.1893884
1.2.135	37.4070672	-122.1895503
1.2.136	37.4071816	-122.1897162
1.2.137	37.4072898	-122.1898813
1.2.138	37.4073984	-122.1900458
1.2.139	37.4075024	-122.1902165
1.2.140	37.4076028	-122.1903844
1.2.141	37.4077018	-122.1905563
1.2.142	37.4077920	-122.1907374
1.2.143	37.4078839	-122.1909161
1.2.144	37.4079737	-122.1910969
1.2.145	37.4080572	-122.1912797
1.2.146	37.4081395	-122.1914640
1.2.147	37.4082284	-122.1916750
1.2.148	37.4083026	-122.1918629
1.2.149	37.4083740	-122.1920504
1.2.150	37.4084439	-122.1922427
1.2.151	37.4085098	-122.1924334
1.2.152	37.4085727	-122.1926233
1.2.153	37.4086353	-122.1928179
1.2.154	37.4086972	-122.1930103
1.2.155	37.4087575	-122.1931969
1.2.156	37.4088183	-122.1933883
1.2.157	37.4088777	-122.1935775
1.2.158	37.4089365	-122.1937623
1.2.159	37.4089964	-122.1939483
1.2.160	37.4090562	-122.1941324
1.2.161	37.4091139	-122.1943144
1.2.162	37.4091728	-122.1944978
1.2.163	37.4092306	-122.1946820
1.2.164	37.4092890	-122.1948652
1.2.165	37.4093490	-122.1950526
1.2.166	37.4094090	-122.1952422
1.2.167	37.4094694	-122.1954341
1.2.168	37.4095296	-122.1956252
1.2.169	37.4095921	-122.1958210
1.2.170	37.4096548	-122.1960190
1.2.171	37.4097166	-122.1962156
1.2.172	37.4097801	-122.1964139
1.2.173	37.4098435	-122.1966113
1.2.174	37.4099053	-122.1968062
1.2.175	37.4099681	-122.1970036
1.2.176	37.4100305	-122.1972012
1.2.177	37.4100924	-122.1973959
1.2.178	37.4101558	-122.1975934
1.2.179	37.4102183	-122.1977912
1.2.180	37.4102801	-122.1979862
1.2.181	37.4103430	-122.1981838
1.2.182	37.4104076	-122.1983819
1.2.183	37.4104804	-122.1986084
1.2.184	37.4105543	-122.1988301
1.2.185	37.4106126	-122.1990151
1.2.186	37.4106728	-122.1992050
1.2.187	37.4107367	-122.1994012
1.2.188	37.4107961	-122.1995875
1.2.189	37.4108575	-122.1997794
1.2.190	37.4109085	-122.1999338
1.2.191	37.4109690	-122.2001235
1.2.192	37.4110322	-122.2003236
1.2.193	37.4110928	-122.2005197
1.2.194	37.4111544	-122.2007102
1.2.195	37.4112154	-122.2009065
1.2.196	37.4112759	-122.2011000
1.2.197	37.4113380	-122.2012969
1.2.198	37.4114025	-122.2014989
1.2.199	37.4114665	-122.2016994
1.2.200	37.4115318	-122.2019040
1.2.201	37.4115992	-122.2021139
1.2.202	37.4116654	-122.2023218
1.2.203	37.4117330	-122.2025338
1.2.204	37.4118025	-122.2027513
1.2.205	37.4118707	-122.2029661
1.2.206	37.4119403	-122.2031848
1.2.207	37.4120291	-122.2034638
1.2.208	37.4121013	-122.2036894
1.2.209	37.4121721	-122.2039130
1.2.210	37.4122444	-122.2041411
1.2.211	37.4123272	-122.2044022
1.2.212	37.4124006	-122.2046340
1.2.213	37.4124753	-122.2048675
1.2.214	37.4125511	-122.2051042
1.2.215	37.4126267	-122.2053408
1.2.216	37.4127028	-122.2055778
1.2.217	37.4127776	-122.2058161
1.2.218	37.4128525	-122.2060476
1.2.219	37.4128884	-122.2061573
1.2.220	37.4129631	-122.2063815
1.2.221	37.4130397	-122.2066012
1.2.222	37.4131183	-122.2068132
1.2.223	37.4132011	-122.2070213
1.2.224	37.4132850	-122.2072174
1.2.225	37.4133716	-122.2074085
1.2.226	37.4134629	-122.2075968
1.2.227	37.4135547	-122.2077761
1.2.228	37.4136503	-122.2079524
1.2.229	37.4137501	-122.2081285
1.2.230	37.4138518	-122.2082984
1.2.231	37.4139582	-122.2084665
1.2.232	37.4140698	-122.2086339
1.2.233	37.4141824	-122.2087934
1.2.234	37.4142978	-122.2089531
1.2.235	37.4144203	-122.2091100
1.2.236	37.4145430	-122.2092598
1.2.237	37.4146696	-122.2094071
1.2.238	37.4148007	-122.2095522
1.2.239	37.4149308	-122.2096901
1.2.240	37.4150636	-122.2098258
1.2.241	37.4151991	-122.2099619
1.2.242	37.4153307	-122.2100942
1.2.243	37.4154644	-122.2102283
1.2.244	37.4155953	-122.2103606
1.2.245	37.4157255	-122.2104919
1.2.246	37.4158579	-122.2106282
1.2.247	37.4160086	-122.2107814
1.2.248	37.4161527	-122.2109268
1.2.249	37.4162808	-122.2110614
1.2.250	37.4164059	-122.2111994
1.2.251	37.4165441	-122.2113561
1.2.252	37.4166531	-122.2114816
1.2.253	37.4167552	-122.2116093
1.2.254	37.4168493	-122.2117362
1.2.255	37.4169513	-122.2118755
1.2.256	37.4170376	-122.2119970
1.2.257	37.4171075	-122.2120990
1.2.258	37.4171944	-122.2122309
1.2.259	37.4172867	-122.2123799
end_lane
lane	1.3
num_waypoints	259
lane_width	12.0000
left_boundary	broken_white
right_boundary	broken_white
1.3.1	37.3918875	-122.1674113
1.3.2	37.3919467	-122.1676126
1.3.3	37.3920057	-122.1678622
1.3.4	37.3920517	-122.1680864
1.3.5	37.3920989	-122.1683184
1.3.6	37.3921301	-122.1685160
1.3.7	37.3921579	-122.1687356
1.3.8	37.3921841	-122.1689624
1.3.9	37.3922020	-122.1691861
1.3.10	37.3922174	-122.1694164
1.3.11	37.3922323	-122.1696497
1.3.12	37.3922450	-122.1698845
1.3.13	37.3922573	-122.1701122
1.3.14	37.3922712	-122.1703389
